point,xgboost_rmse,other_mean_rmse,advantage,xgboost_rank,Autoformer_RMSE,Informer_RMSE,LSTM类模型_RMSE,LightGBM_RMSE,N-HiTS_RMSE,TimesFM_RMSE,XGBoost_RMSE
point543,0.003753274545502052,0.016803052706503025,0.013049778161000973,1,0.022092722661909786,0.017577053762692158,0.004085633921211616,0.0037970088908276982,0.014501372931711234,0.03876452407066567,0.003753274545502052
point991,0.0022801085350492275,0.015135211399422277,0.012855102864373049,1,0.02085953427089272,0.012531387017851787,0.0024548541015057086,0.0023655775581816387,0.019426233243180675,0.033173682204921145,0.0022801085350492275
point655,0.0032556300242870327,0.01604013436147436,0.012784504337187325,1,0.018010511472355346,0.011576850875545419,0.0034158442588403653,0.0032792395983586493,0.021380568877900262,0.03857779108584611,0.0032556300242870327
point830,0.002515400803608577,0.015186962581810308,0.012671561778201732,1,0.01524454763435875,0.009120435981528693,0.002667243523598871,0.002759480291601309,0.020786849098999152,0.040543218960775076,0.002515400803608577
point288,0.0030404408701871304,0.015434736650626835,0.012394295780439704,1,0.019860236142458316,0.01442802794730669,0.003665785166927805,0.003321265532118183,0.021619064681415525,0.02971404043353448,0.0030404408701871304
point973,0.0020541595352478966,0.014415981192602517,0.01236182165735462,1,0.016066282155640835,0.010859997368647432,0.0021362758764600235,0.002065952833878234,0.010286721815990826,0.04508065710499775,0.0020541595352478966
point261,0.0031883159033693847,0.01553348329523356,0.012345167391864175,1,0.021187296700437244,0.014553900628067119,0.00330717416119357,0.0035452866455386377,0.023222522188164545,0.027384719448000253,0.0031883159033693847
point147,0.002432033570826874,0.0144885536765088,0.012056520105681926,1,0.016995911092351768,0.012080190298503247,0.0028276093006583216,0.0024511826384125924,0.020399258082001426,0.032177170647125435,0.002432033570826874
point115,0.00296097462016799,0.014969993143780768,0.012009018523612778,1,0.019876816080312328,0.0131247847792393,0.003045505340155691,0.0030986160561828477,0.02146942095020781,0.029204815656586624,0.00296097462016799
point998,0.002343259571715615,0.014313016563348319,0.011969756991632705,1,0.019761422343117025,0.015048533240668927,0.0028642758365501437,0.0024702883890035466,0.0176753016331708,0.02805827793757948,0.002343259571715615
point89,0.0023004629149867544,0.014216958929523718,0.011916496014536964,1,0.021706125260353686,0.013355392412318567,0.0027633659636015625,0.0024332523569789923,0.02066739807977102,0.024376219504118495,0.0023004629149867544
point133,0.002828751478629615,0.014740259986364473,0.011911508507734859,1,0.020235321582299393,0.011265811655375737,0.00324102055720049,0.002969801840626408,0.020792252994885886,0.02993735128779891,0.002828751478629615
point728,0.0024972542801139225,0.014401854829174667,0.011904600549060744,1,0.01914133209645342,0.0135504647143497,0.003186698148448632,0.002500085774894088,0.016957063724987745,0.03107548451591442,0.0024972542801139225
