point,LSTM_RMSE,samples
point748,0.003761330426873199,131
point777,0.00375850575677427,131
point795,0.0037533289575685876,131
point201,0.0037520148035724344,131
point215,0.003751064439991396,131
point60,0.0037483469380844847,131
point664,0.0037467860943888064,131
point227,0.0037461059802220966,131
point721,0.003745843300896779,131
point615,0.0037443832203288407,131
point534,0.003738926773711147,131
point770,0.003728572933934577,131
point412,0.0037267933444470073,131
point730,0.003724913353815376,131
point726,0.0037247282041474815,131
point628,0.0037200052338210096,131
point247,0.0037130554814497002,131
point885,0.0037122311484854426,131
point762,0.003712229544434521,131
point551,0.003698675013737149,131
point131,0.0036851767171617008,131
point517,0.003684759046666325,131
point920,0.003681072062248922,131
point904,0.003680110790050559,131
point916,0.003676621449732772,131
point540,0.0036709681657701326,131
point572,0.003667505920403801,131
point170,0.003666768951227846,131
point288,0.003665785166927805,131
point629,0.003658650126705166,131
point570,0.0036580776154674422,131
point933,0.0036558324752975855,131
point260,0.0036538815410082216,131
point231,0.0036495425730795083,131
point802,0.003647759572663477,131
point564,0.0036438874020228154,131
point649,0.0036438025427797185,131
point128,0.003643144429491834,131
point175,0.0036403612567802147,131
point441,0.003637731854688161,131
point490,0.0036367378508902373,131
point978,0.0036284690183528527,131
point971,0.0036241964675800733,131
point453,0.0036155111736867066,131
point240,0.0036136778792986036,131
point732,0.0036102868782602517,131
point855,0.0036102347517707376,131
point330,0.003602702174126801,131
point425,0.003602564268182321,131
point236,0.0035968804263048744,131
point152,0.0035953234790261413,131
point212,0.0035938625992783316,131
point706,0.0035901333981846737,131
point183,0.003589175519438508,131
point335,0.0035891549648973597,131
point246,0.0035887106114642128,131
point443,0.0035666769714661683,131
point300,0.003560872336883968,131
point944,0.003558610700004036,131
point473,0.003549156887864331,131
point644,0.003545665541174321,131
point34,0.0035433713757464856,131
point223,0.0035405848116467084,131
point303,0.0035377592990644235,131
point577,0.0035368055459534422,131
point454,0.003532600539444124,131
point92,0.0035292954955786094,131
point647,0.0035214201835596045,131
point383,0.0035200445533669807,131
point707,0.003519653032284819,131
point590,0.003517694439354617,131
point293,0.0035106726241943905,131
point387,0.0035078898649144397,131
point815,0.0034939103285659113,131
point295,0.0034924978545793316,131
point621,0.003491926031777605,131
point59,0.003490881901242279,131
point901,0.0034891057423876663,131
point620,0.0034881962362163918,131
point875,0.003487893876258458,131
point961,0.0034876609949832417,131
point757,0.0034861578698658314,131
point74,0.0034857454225497714,131
point972,0.0034849372060827234,131
point836,0.003482720985821739,131
point389,0.0034811991555729455,131
point338,0.0034755136411589132,131
point69,0.003467566290845888,131
point48,0.0034666820992497707,131
point327,0.0034656394317448573,131
point831,0.003450796102277544,131
point910,0.003449075981835437,131
point377,0.003448695626773392,131
point710,0.003448051198016122,131
point803,0.003447818284036314,131
point888,0.0034466284262377926,131
point409,0.0034457110628715584,131
point828,0.0034348178845298723,131
point751,0.0034315083641314093,131
point852,0.003430939522441614,131
point696,0.003430315763961341,131
point444,0.0034294941633500275,131
point960,0.0034262824742462093,131
point900,0.003423741763349205,131
point594,0.0034220620637445795,131
point309,0.0034197202603486365,131
point655,0.0034158442588403653,131
point947,0.003411325692502694,131
point118,0.0034071008639893477,131
point658,0.003406890143737901,131
point843,0.003401569647306986,131
point889,0.0033980515616063127,131
point928,0.003397830636851734,131
point399,0.003396950895096841,131
point639,0.0033928943556579766,131
point975,0.0033926854888989477,131
point640,0.0033902180481186375,131
point123,0.0033892761944600528,131
point968,0.0033885442257704543,131
point581,0.003380303927414043,131
point835,0.0033737869410765476,131
point164,0.0033729052423377257,131
point963,0.0033711455135906395,131
point866,0.0033684012217953447,131
point491,0.0033632100896304976,131
point747,0.0033569914640809296,131
point499,0.0033557781195094854,131
point274,0.003354749357441733,131
point396,0.0033512405772965735,131
point939,0.0033511047799347463,131
point72,0.0033464630682495237,131
point850,0.003345858368079804,131
point110,0.003343875714605825,131
point99,0.0033429266989240744,131
point460,0.003330585956834753,131
point248,0.0033292967869700354,131
point530,0.003326836446946907,131
point408,0.0033253038432121806,131
point848,0.0033238938895475785,131
point936,0.0033232971568819573,131
point513,0.0033229452911401835,131
point77,0.0033155528771210262,131
point604,0.003313258250875169,131
